"os","device_type","device_score","device_cpu"," Native视频发流切片时长 "
"iOS","iPad15,7",66,,180196.233333
"Android","bah4-w39",80,,179710.583333
"Android","c210cs",72,,179662.316667
"Android","22011211c",75,"MT8395AV/ZA, mt8395",174462.266667
"Android","lenovo tb-j606f",85,,174095.966667
"Android","wgrr-w09",88,,173653.816667
"iOS","iPhone11,2",88,,170464.35
"iOS","iPhone17,3",100,,169847.516667
"Android","bah2-w09",80,"kirin 659",169218.8
"Android","talih-pd3u2",75,,168915.8
"iOS","iPhone12,5",90,,168912.583333
"Android","ud710_ck10air_native",68,,165743.083333
"Android","24018rpacc",93,,164204.716667
"Android","zpd1272",72,,163375.366667
"Android","bah4-w29",80,,162673.933333
"Android","gdi-w09",89,,162079.416667
"Android","24094rad4c",81,"mediatek 7020",161121.016667
"Android","ums9620_ck10_native",71,,159217.316667
"Windows","83GX",78,"Intel(R) Core(TM) 5 210H",157446.35
"Android","ags3-w00e",77,,155926.6
"Android","ud710_sa30pro_native",68,,154775.95
"Android","pixel 3a xl",65,"Qualcomm 670",153636.2
"Android","zpd1202",72,,153055.883333
"Android","xd-sdb21-2301",68,,150347.633333
"iOS","iPhone14,5",-1,,150167.366667
"Android","a127ch",72,,149881.433333
"Android","ud710_sa30_native",68,,147633.9
"Android","aln-al00",90,,147512.2
"iOS","iPhone12,8",90,,145769.783333
"Windows","20TAA00FCD",76,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz",144651.416667
"Android","b127ch",72,,143546.1
"Android","krj-w09",84,,143373.45
"Android","rod2-w09",89,,142165.1
"Android","tb331fc",89,,140890.216667
"iOS","iPad8,11",88,,140491.116667
"iOS","iPad13,8",92,,138047.416667
"Android","b127cm",72,,136620.116667
"iOS","iPhone13,3",92,,136573.716667
"Android","scm-al09",81,,136246.516667
"Android","x3",68,,135583.783333
"Android","ndl-w09",89,,132369.216667
"Android","21091116ac",80,"mediatek 6020",132137.8
"Windows","HP Laptop 14s-cr2xxx",70,"Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz",130354.8
"Android","m2105k81ac",75,,130143.85
"iOS","iPad5,1",70,,130061.466667
"iOS","iPad6,3",82,,129679.8
"Android","22081283c",75,,128450.783333
"iOS","iPad15,3",66,,127616.916667
"MAC","Mac15,12",85,,127579.916667
"Android","lrt-w30",71,,124720.216667
"Android","ele-al00",86,"kirin 980",120364.45
"Android","xd-sdb21-2302",71,,120320.883333
"Android","y1",89,,117623.966667
"Android","alt-al10",84,,116230.266667
"Android","a7",68,,116181.383333
"Android","hey3-w10",89,,115702.183333
"iOS","iPhone18,2",-1,,115013.316667
"iOS","iPhone17,1",-1,,114946.65
"iOS","iPad6,7",82,,114722.45
"Android","m2004j19c",74,"helio p65",114715.483333
"Windows","B365M D2V",78,"Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz",112227.083333
"Android","bah4-w19",89,,111962.666667
"Android","zpd1203",72,,111500.3
"Android","xpv11",72,,111428.583333
"Android","b1",85,"rockchip rk3588  rk30board",110799.883333
"iOS","iPad7,12",84,,110067.566667
"Android","cb-x2",65,,109026.283333
"Android","bky-w00",71,,109025
"Android","d1",75,,108613.583333
"Android","opd2301",75,,108358.25
"Android","m2007j22c",76,"mediatek 720",107984.166667
"Android","tb375fc",79,,106467.45
"Android","sm-g9730",84,"Exynos 9820",105294.416667
"Windows","FLMH-XX",76,"Intel(R) Core(TM) Ultra 5 125H",102616.783333
"Android","22127rk46c",81,"xiaomi 22127rk46c  rk30board",101997.533333
"iOS","iPhone12,1",-1,,101060.783333
"Android","s5 pro",86,,99615.316667
"iOS","iPhone18,1",-1,,99584.466667
"Android","2307brpdcc",93,,99440.45
"iOS","iPhone15,2",-1,,99177.5
"iOS","iPad7,3",84,,98845.666667
"iOS","iPhone15,4",-1,,98492.25
"Android","opd2101",93,,98245.183333
"MAC","Mac14,2",85,,97988.983333
"iOS","iPhone15,3",-1,,97772.583333
"Android","zpd1321",72,,97378.266667
"iOS","iPhone16,1",-1,,96371.366667
"Android","mrx-an19",84,,96040.283333
"Android","hey-w09",86,,96001.233333
"iOS","iPhone9,1",84,,95753.916667
"Android","ali-an00",83,"qualcomm 6 Gen 1",94372.166667
"Android","zpd1273",72,,94096.066667
"Android","hbn-al00",71,,94087.416667
"Android","ta431a",71,,94030.916667
"Android","tb128fu",89,,92273.033333
"iOS","iPhone13,2",-1,,92186.933333
"Android","mi 10",89,", qcom",91882.966667
"Android","eln2-w09",89,,89830.1
"iOS","iPhone12,3",90,,89151.816667
"iOS","iPad14,5",94,,88830.516667
"Android","noh-an00",88,,86288.066667
"Android","a6",68,,85895.333333
"Android","xd-sdd15-2201",73,,85824.016667
"Android","ums9620_ca30pro_native",71,,85117.733333
"iOS","iPhone18,3",-1,,85071.833333
"Android","tas-an00",88,"kirin 990",85013.183333
"Android","talih-pde1",72,,84432.933333
"Android","s9",71,,83952.833333
"Android","tas-an00",84,,83928.05
"Android","zpd1401",72,,83329.7
"Android","22127rk46c",71,", rk30board",82735.633333
"iOS","iPhone14,3",-1,,81151.6
"iOS","iPhone16,2",-1,,80880.35
"Android","bah3-al00",84,,80581.9
"Android","lrt-w20",71,,80279.733333
"Android","rod-w19",75,,79951.2
"Android","redmi k30 5g",86,"qti sm7250 qualcomm technologies, inc sm7250 qcom",79945.6
"iOS","iPad14,1",94,,79637.866667
"Android","hey3-w00",89,,79191.066667
"iOS","iPad14,8",94,,79104.233333
"Windows","83CK",84,"13th Gen Intel(R) Core(TM) i5-13420H",78827.433333
"MAC","MacBookPro17,1",85,,78392.416667
"Android","tb371fc",93,,77499.266667
"Android","2312draabc",80,"mediatek 810",76169.016667
"Android","zpd1271",72,,75521.466667
"Windows","21HW",88,"13th Gen Intel(R) Core(TM) i5-13500H",75405.766667
"Android","ali-an00",89,,74380.266667
"Android","bra-al00",90,,74365.766667
"Android","23127pn0cc",93,,74177.216667
"Android","s7u",71,,73945.983333
"Android","w202ds",71,,73857.083333
"Android","pa2170",93,,73721.866667
"Android","bah4-w09",80,,73224.533333
"iOS","iPhone17,2",-1,,72380.55
"Windows","Latitude 3420",64,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz",72364.766667
"Android","dco-al00",93,,72198.3
"Android","22081283c",73,,71710.683333
"Android","pa2353",93,,71368.983333
"Android","aln-al80",90,,70899.1
"Windows","21E30071CD",76,"12th Gen Intel(R) Core(TM) i5-1240P",70881.066667
"Android","c210ch",72,,70713.683333
"Android","xd-sdd16-2201",75,,70505.816667
"Android","els-an00",84,,69870.283333
"Android","ags3k-w20",77,,69577.583333
"iOS","iPhone14,7",-1,,68936.966667
"Android","blm-00",77,,68513.4
"Android","zpd1221",72,,67686.616667
"Windows","ChengMing 3991",94,"Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz",67674.166667
"Android","ags3-w00d",77,,67455.25
"iOS","iPhone8,1",82,,67403.75
"Android","krj2-w09",75,,67256.766667
"Android","23127pn0cc",96,"qualcomm 8 Gen 3",66977.716667
"Android","pa2373",75,,66894.216667
"Android","pixel 2 xl",68,"Qualcomm 835",66383.266667
"Android","slg-w50",69,,66366.216667
"Android","cb30",68,,66206.2
"Android","redmi k30 5g",86,"qualcomm technologies, inc sm7250 qcom",65851.416667
"Windows","83CK",78,"13th Gen Intel(R) Core(TM) i5-13420H",65318.1
"iOS","iPad7,6",84,,64931.183333
"Android","opd2409",97,,64570.016667
"Android","m2105k81c",93,,64408.433333
"Android","wgr-w19",88,,64314.233333
"Android","cmr-w09",68,,63283.4
"Android","23073rpbfg",89,,63220.983333
"Android","pkb110",86,"mediatek mt6991  mt6991",63041.216667
"Android","25053rp5cc",76,,62543.616667
"Android","22011211c",81,"mt8395av/za mt8395",62535.533333
"iOS","iPad8,7",88,,62229.75
"Android","2405crpfdg",89,,62183.766667
"Android","sm-x210",86,,62166.483333
"Android","22101317c",81,"qualcomm 4 Gen 1",61497.15
"Android","xdh-25-b3",75,,61377.5
"Android","hera-bd00",85,"qualcomm 778g",61339.066667
"Android","mrx-w19",84,,61242.583333
"Android","lenovo tb-j706f",89,,61003.45
"Android","ags3-w09hn",77,,60972.966667
"Android","vog-al00",86,"kirin 980",60713.433333
"Android","mrx-w39",84,,60404.216667
"Android","zpd1301",72,,60373.783333
"Android","xd-sdd27-2201",75,,60315.483333
"Android","x2",65,,60012.566667
"Android","23073rpbfg",86,,59763.633333
"Android","24129rt7cc",84,"mediatek mt6899  mt6899",59610.45
"iOS","iPhone14,2",-1,,59178.183333
"Android","cga-w00",93,,58929.1
"Android","23124rn87c",78,"mediatek mt6835  mt6835",58327.8
"Android","lenovo tb-j607f",89,,58123.783333
"Android","pgbm10",86,"mediatek 1300",58109.666667
"Android","blk-al80",71,,58013.516667
"Android","jlh-an00",75,"MT6877V/ZA, mt6877",57961.1
"Windows","System Product Name",85,"12th Gen Intel(R) Core(TM) i3-12100",57888.15
"Android","agm3-w09hn",72,,57625.183333
"Android","cet-al00",93,,57522.833333
"iOS","iPhone13,1",92,,57504.233333
"Android","mi pad 4 plus",86,,57315.766667
"Windows","21CSA2S3CD",76,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz",57143.25
"Android","ady-al00",71,,56794.05
"Android","aln-al00",90,"kirin 9000S",56115.1
"Android","bah3-an10",84,,55929.416667
"Android","ana-an00",84,,55721.266667
"Android","p40uch",75,,55652.016667
"Android","els-an00",88,"kirin 990",55176
"Android","cls-al00",71,,55164.983333
"iOS","iPhone17,3",-1,,54901.383333
"Android","bah3-w09",81,,54778.466667
"Android","23127pn0cc",93,", qcom",54670.633333
"Android","sm-g9730",87,"samsung exynos 9820  exynos9820",54430.566667
"Android","xpv21s",72,,54244.75
"Android","p713",75,,53952.933333
"Android","mxw-an00",77,"mediatek 800",53834.983333
"Android","opd2201",75,,53694.916667
"Android","pct-al10",86,"kirin 980",53613.9
"Android","vrd-w09",81,,53412.966667
"Android","tc02a",73,,53296.016667
"Android","lenovo tb-j716f",93,,52988.483333
"Android","ags2-w09hn",68,,52958.066667
"Android","ana-an00",88,"kirin 990",52926.3
"Android","pct-al10",84,,52896.9
"Android","brq-an00",86,"kirin 985",52479.5
"Android","jer-an20",86,"kirin 985",52470.25
"iOS","iPhone13,4",-1,,52445.883333
"Android","xd-sdd17-2301",75,,52360.733333
"Android","aln-al10",90,,52323.116667
"Android","pa2473",79,,52130.716667
"Android","bah2-w09",68,,51866.55
"Android","pa2511",89,,51715.116667
"Android","sm-x200",65,,51583.65
"iOS","iPad16,1",66,,51489.466667
"Android","nop-an00",88,,50896.416667
"Android","mrr-w39",93,,50636.1
"Android","25040rp0ac",75,,50613.3
"Android","rol-w10",79,,50487.333333
"Android","pdkm00",77,"mediatek 800",50170.566667
"Android","25040rp0ag",73,,50103.533333
"iOS","iPhone16,2",66,,49799.566667
"Windows","21E3A002CD",76,"12th Gen Intel(R) Core(TM) i5-1240P",49549.883333
"Android","v1809a",71,", rk30board",49545.05
"Android","v2121a",86,"mediatek 1200",49341.566667
"Android","21051182g",89,,49326.35
"Android","v2458a",86,"mediatek mt6991  mt6991",49070.183333
"iOS","iPhone13,3",-1,,48806.883333
"Android","opd2405",79,,48744.2
"Android","vrd-w10",84,,48685.333333
"Android","familymobilepad",71,,48396.683333
"Android","tx20_c10",65,,47949.616667
"Android","r2",65,,47427.733333
"Android","hma-al00",86,"kirin 980",46935.6
"iOS","iPad4,1",60,,46853.583333
"Android","pa2455",89,,46577.45
"Android","ags5-w00",86,,46562.066667
"Android","col-al10",83,"kirin 970",45811.216667
"Android","w201ds",71,,45553.883333
"MAC","Mac14,2",-1,,45401.55
"Android","24117rk2cc",93,,45379.916667
"iOS","iPhone8,2",82,,45348.183333
"Android","brt-an09",75,,45281.833333
"Android","t40ucs",75,,45264.116667
"Android","m3",68,,45207.916667
"Android","yxp u-2303a",75,,45202.183333
"Android","sm-p610",81,,44978.45
"Windows","21TL",72,"Intel(R) Core(TM) Ultra 5 225H",44962.15
"Android","pgz110",84,"mediatek 8100",44957.35
"iOS","iPhone15,3",66,,44700.783333
"Android","2211133c",94,"qualcomm 8 Gen 2",44650.15
"Android","mrdi-w10",71,,44637.716667
"Android","bah4-al10",89,,44623.466667
"Android","23013rk75c",89,,44542.15
"Android","lio-an00",84,,44468.766667
"Android","a2",68,,44460.95
"iOS","iPhone17,2",66,,44233.833333
"Android","yal-al10",86,"kirin 980",43907.566667
"Android","v2309a",90,"mediatek 9300",43798.816667
"Android","brc-an00",81,"mediatek 7020",43788.766667
"Android","icl-al20",84,,43705.233333
"Android","yxp p770",72,,43591.166667
"Android","lna-al00",89,,43518.933333
"Android","ags5-al00",89,,43450.833333
"Android","cma-an00",76,"mediatek 700",43382.433333
"Android","sm-g9730",89,"Qualcomm 855",43364.7
"Android","ags3-al00",77,,43332.083333
"iOS","iPad14,4",94,,43331.7
"Windows","FMB-P",72,"Intel(R) Core(TM) Ultra 5 225H",43165.633333
"Android","x6",71,,42715.616667
"Android","pgt110",88,"mediatek 9000",42640.916667
"Android","ady-al10",71,,42593.133333
"iOS","iPad13,6",92,,42573.233333
"iOS","iPhone14,8",94,,42468.883333
"Android","s30",72,,42253.133333
"Android","2211133c",93,,42217.016667
"Android","hbp-al00",71,,42167.3
"iOS","iPhone10,4",86,,42149.583333
"iOS","iPhone15,5",96,,42148.566667
"Android","bnd-al10",71,", rk30board",41945.183333
"Android","tb335fc",75,,41933.15
"Android","a8",71,,41825.716667
"Android","noh-an00",91,"kirin 9000",41698.616667
"Android","dbr-w00",89,"qualcomm 865",41601.283333
"Android","fne-an00",89,,41442.033333
"Android","rvl-al09",83,"kirin 970",41418.333333
"Android","cdy-an00",84,"kirin 820",41020.45
"Android","mrdi-w00",71,,40763.65
"Android","skw-a0",71,", rk30board",40759.8
"Android","lio-an00",88,"kirin 990",40733.45
"Android","nth-an00",89,,40531.85
"Android","pkw110",81,"mediatek mt6835  mt6835",40215.333333
"iOS","iPad8,5",88,,40105.216667
"Android","pjh110",79,", mt6895",39935.733333
"MAC","MacBookAir10,1",-1,,39660.85
"Android","mi note 3",81,"qualcomm 660",39595.833333
"Android","bah2-w09",74,"hi6250",39495.9
"Android","23113rkc6c",93,,39478.283333
"iOS","iPad15,7",96,,39473.216667
"Android","22041216c",84,"mediatek 8100",39469.466667
"Windows","83JJ",88,"13th Gen Intel(R) Core(TM) i7-13650HX",39275.783333
"MAC","Mac14,7",85,,39026
"Android","lem-al00",84,,38777.45
"Android","mi pad 4",86,,38766.266667
"Android","sm-t733",89,,38740.816667
"Android","w205ds",71,,38501.7
"Android","tas-al00",88,"kirin 990",38479.85
"Android","glk-al00",71,", rk30board",38432.983333
"Android","pla110",79,,38243.5
"Android","sea-al10",86,"kirin 980",38027.833333
"Android","ada-al00",71,,37792.9
"Android","pjh110",79,,37543.016667
"Android","mi 9t pro",88,"qualcomm 855",37508.716667
"Android","scm-al09",84,,37508.6
"Android","pla-al10",84,,37192.083333
"Android","tyh641m",83,"qualcomm 695",37181.583333
"Android","vrd-al10",84,,37125.35
"Android","phm110",89,,36884.116667
"Android","any-an00",81,"qualcomm 480",36883.016667
"Android","rod2-w69",89,,36578.916667
"iOS","iPhone10,6",86,,36532.233333
"Android","tfy-an00",80,"mediatek 810",36492.2
"Android","sm-n9860",66,,36442.383333
"Android","rea-an00",89,,36429.316667
"Android","vog-al10",84,"Kirin 980",36406.316667
"Android","krj-an00",84,,36329.65
"Windows","ENZH-XX",76,"Intel(R) Core(TM) Ultra 5 125H",36327.616667
"Android","tb128fu",86,,36297.433333
"Android","v2309a",79,,36292.35
"Android","23013rk75c",92,"qualcomm 8+ gen 1",36262.9
"Android","opd2401",93,,36198.883333
"Android","hbn-al80",71,,36098.783333
"Android","ags2-w09",68,,35962.166667
"Android","pfdm00",86,"mediatek 1300",35960.2
"Android","sm-s9160",75,"MT8395AV/ZA, mt8395",35959.8
"Android","sm-x205",65,,35509.05
"Android","24129pn74c",97,,35453.533333
"iOS","iPhone17,4",100,,35300.433333
"Android","lsa-an00",89,,35285.783333
"Android","sm-j700t",71,", rk30board",35225.033333
"Android","hbn-al00",92,"kirin 9010",35177.95
"Android","ann-an00",89,,35055.1
"iOS","iPad15,3",96,,35027.816667
"Android","aqm-al10",84,"Kirin 810",34987.5
"Android","php110",87,"mediatek 9000",34969.7
"Android","24129pn74c",93,"qti sm8750  qcom",34877.2
"Android","jef-an00",86,"kirin 985",34783.216667
"Android","h55ea",71,,34672.983333
"Android","dt15pa",69,,34660.816667
"Android","mrx-al19",84,,34536.083333
"Android","2210132c",94,"qualcomm 8 Gen 2",34503.516667
"Android","vrd-al09",81,,34475.033333
"Android","vce-al00",84,"vendor Kirin970, kirin970",34459.866667
"Android","oppo r11s",80,"qualcomm 660",34452.8
"iOS","iPhone17,1",66,,34416.583333
"Android","22120rn86c",74,"helio p65",34343.883333
"iOS","iPhone9,4",84,,34216.833333
"Windows","20TAA00GCD",76,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz",33867.15
"Android","m2006c3lc",73,"helio g25",33678.15
"Android","opd2102",89,,33629.05
"Android","adt-an00",89,"qualcomm 888",33611.816667
"Android","pkd130",75,", mt6835",33522.766667
"Android","bzh5-w00",80,,33502.816667
"Android","max2.0",72,,33356.283333
"Windows","21KG",88,"13th Gen Intel(R) Core(TM) i5-13500H",33210.083333
"Android","b2",86,"rockchip rk3588  rk30board",33056.3
"MAC","Mac16,13",89,,33054.2
"Android","25053rt47c",89,"qti sm8735  qcom",32878.4
"Android","icl-al10",84,,32851.933333
"Android","pbem00",80,"qualcomm 670",32837.266667
"Android","eamey-a01",72,"Unisoc T616",32808.216667
"Android","tas-al00",84,,32762.683333
"Android","hma-tl00",86,"kirin 980",32669.516667
"Android","yal-al00",84,"Kirin 980",32595.866667
"Windows","KLVD-WXX9",76,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz",32559.233333
"Android","tx20_c10pro",65,,32539.9
"Android","ann-an00",85,"qualcomm 778g",32450.133333
"Android","brq-an00",84,", kirin985",32448.633333
"Android","w200ds",71,,32338.633333
"Android","v2279a",78,"mediatek 6020",32278.016667
"Android","p709",72,,32197.566667
"Android","ele-al00",84,,32153.833333
"Android","pa2573",79,,32128.833333
"Android","bra-al00",90,"kirin 9000S",32108.15
"Android","p712",72,,31897.033333
"Android","xpv11",69,,31874.783333
"Android","cls-al30",71,,31870.3
"Android","bah2-al10",68,,31843.483333
"Android","t730p",82,"rockchip  rockchip,rk30board,rk3588 rk30board",31731.7
"Android","u202",63,,31490.233333
"Android","pdym20",72,"MT6853V/ZA, mt6853",31453.766667
"Android","m2102j2sc",89,"qualcomm 865",31397.4
"Android","pcpm00",76,"helio p60",31381.233333
"Android","vog-al10",86,"kirin 980",31280.05
"MAC","Mac14,9",89,,31198.783333
"Android","m2103k19c",78,"mediatek 6020",31037.833333
"iOS","iPad11,7",88,,30965.4
"Android","sm-x510",71,,30880.566667
"Android","ud710_sa30_q30",68,,30863.866667
"Android","lge-an00",92,"qualcomm 8 gen 1",30821.133333
"Android","23049rad8c",91,"qualcomm 7+ Gen 2",30737.05
"Android","2411drn47c",83,"qualcomm 4 Gen 2",30727.366667
"Android","lenovo tb-x606f",73,,30720.316667
"iOS","iPhone15,5",-1,,30718.7
"Windows","82AV",84,"Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz",30692.433333
"Android","btk-al00",89,,30456.583333
"Android","23116pn5bc",93,,30406.7
"Android","v2364a",89,", qcom",30394.25
"Windows","NBLL-WXX9",66,"AMD Ryzen 5 4500U with Radeon Graphics         ",30306.566667
"Android","x2p",68,,30195.283333
"Android","x-01",65,,30074.283333
"Windows","21CX",88,"12th Gen Intel(R) Core(TM) i5-12500H",30015.216667
"Android","v2278a",79,"mediatek 930",29916.583333
"Android","tlr-al00",71,,29905.716667
"Windows","MDG-XX",78,"13th Gen Intel(R) Core(TM) i5-13420H",29876.816667
"MAC","MacBookPro17,1",-1,,29765.683333
"Android","pfum10",83,"qualcomm 695",29710.283333
"Android","oce-an10",91,"kirin 9000e",29692.95
"Windows","Precision 3551",84,"Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz",29642.033333
"Android","nic-an00",81,"mediatek mt6835 mt6835 mt6835",29636.166667
"Android","pce-w40",84,,29636.116667
"Android","brc-an00",75,,29614.883333
"Android","eli-an00",89,,29488.333333
"Android","pdkt00",72,"MT6873, mt6873",29451.266667
"Android","pkd110",81,"mediatek mt6835  mt6835",29403.083333
"Android","maa-an00",89,,29325.05
"Android","mis-al00",71,,29323.783333
"Android","24090ra29c",82,"mediatek mt6878  mt6878",29260.9
"Windows","Redmi Book 14 2024",88,"13th Gen Intel(R) Core(TM) i5-13500H",29015.65
"Android","pecm30",77,"mediatek 800u",28949.283333
"Android","2312dra50c",85,"qualcomm 7s Gen 2",28860.85
"Android","24115ra8ec",86,"qti sm7635  qcom",28854.583333
"Android","xd-sdd32-2401",71,,28841.083333
"Android","q20",72,,28765.133333
"Android","sm-s9280",87,"qualcomm technologies, inc qcs8250 qcom",28750.466667
"Android","plr-al30",84,,28727.933333
"Android","alt-an00",83,"qualcomm 4 Gen 2",28726.866667
"Android","ags3k-w00",78,"kirin 710",28689.116667
"Android","sm-t500",82,,28322.066667
"Android","pju110",78,"mediatek 6020",28316.866667
"Android","jln-al00",83,"qualcomm 680",28293.383333
"Android","mna-al00",93,,28265
