os	device_type	device_score	device_cpu	ip_domain	 Native视频发流切片时长 
iOS	"iPhone15,4"	96		East_Asia	3598505.4
iOS	"iPhone12,1"	90		China_Mainland	3564966.267
Android	dt15pa	72		China_Mainland	3048538.75
iOS	"iPhone17,3"	100		East_Asia	2568081.267
iOS	"iPad7,11"	84		China_Mainland	2481153.633
iOS	"iPad11,6"	88		China_Mainland	2451345.65
Windows	HP 240R 14 inch G9 Notebook PC	50	13th Gen Intel(R) Core(TM) i5-1335U	China_Mainland	2401052.25
iOS	"iPhone14,7"	94		East_Asia	2323788.35
iOS	"iPad12,1"	90		China_Mainland	2104240.033
Android	dby-w09	89		China_Mainland	2082455.633
Android	btk-w00	89		China_Mainland	1956559.05
Android	sm-s156v	78	mediatek mt6835  mt6835	North_America	1954277.833
iOS	"iPad7,5"	84		China_Mainland	1918728.017
iOS	"iPhone14,5"	94		East_Asia	1879626.05
iOS	"iPhone13,2"	92		China_Mainland	1795404.6
Android	talih-pd1	72		China_Mainland	1786472.367
iOS	"iPhone17,1"	100		East_Asia	1765456.667
Android	talih-pd2	75		China_Mainland	1656057.933
Android	moto g22	75	helio p35	Europe	1585361.917
iOS	"iPhone14,5"	94		North_America	1529952.817
iOS	"iPhone12,1"	90		South_America	1524596.25
iOS	"iPhone14,5"	94		China_Mainland	1484651.35
Android	talih-pd2p	75		China_Mainland	1386856.217
Android	xtw31	71		China_Mainland	1356445.467
iOS	"iPhone12,1"	90		North_America	1337678.833
Windows	21JKA01MCD	76	13th Gen Intel(R) Core(TM) i5-1340P	China_Mainland	1307711.367
Android	tgr-w10	71		China_Mainland	1299955.467
iOS	"iPhone16,1"	98		East_Asia	1286823.5
iOS	"iPhone14,5"	94		South_America	1220263.967
iOS	"iPhone16,2"	98		North_America	1200704.383
iOS	"iPhone14,7"	94		North_America	1106968.05
iOS	"iPad11,3"	88		China_Mainland	1070337.6
iOS	"iPhone13,2"	92		East_Asia	1038169.533
iOS	"iPhone15,4"	96		North_America	979348.8167
iOS	"iPhone15,2"	96		East_Asia	971957.1
iOS	"iPhone14,3"	94		North_America	959747.7167
Android	2211133c	87	"qualcomm technologies, inc kona-iot qcom"	China_Mainland	943599.8
iOS	"iPhone12,1"	90		East_Asia	916080.6333
iOS	"iPhone11,8"	88		China_Mainland	906715.1333
iOS	"iPhone17,2"	100		North_America	899911.3333
Android	moto g - 2025	79	mediatek mt6835  mt6835	North_America	877659.3
iOS	"iPhone18,3"	-1		East_Asia	857381.0833
iOS	"iPhone17,2"	100		East_Asia	855552.1167
Android	btkr-w00	71		China_Mainland	819874.9167
Android	talih-pd3u	75		China_Mainland	813885.5333
iOS	"iPad13,16"	92		China_Mainland	804557.4667
iOS	"iPhone15,3"	96		North_America	802884.3333
iOS	"iPhone16,2"	98		East_Asia	798819.5833
Android	dbr-w10	93		China_Mainland	790093.45
iOS	"iPhone18,1"	-1		East_Asia	761619.1833
Android	tc02a	69		China_Mainland	744045.55
Windows	15U50P-KP50ML	76	11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz	East_Asia	740058.4833
Android	dby2-w00	89		China_Mainland	729470.2667
Windows	83CH	50	12th Gen Intel(R) Core(TM) i5-1235U	China_Mainland	720836.7333
iOS	"iPhone17,5"	100		East_Asia	718448.5667
Android	scm-w09	81		China_Mainland	705065.1333
Android	bah3-w59	84		China_Mainland	704383.25
Android	cph2467	83	qualcomm 695	India	701892.5333
iOS	"iPhone17,4"	100		North_America	699293.7333
Android	mrr-w29	93		China_Mainland	698533.4833
Android	v2111	73	"MT6765V/CB, mt6765"	South_Asia	685296.7333
Android	cph2269	73	"MT6765G, mt6765"	South_Asia	668110.7667
iOS	"iPhone17,3"	100		North_America	666038.5833
Android	talih-pd2a	75		China_Mainland	660080.4667
Android	s6	89		China_Mainland	650130.0167
iOS	"iPad13,4"	92		China_Mainland	642235.6333
Android	ags6-w00	89		China_Mainland	641653.6167
Android	cph2381	83	qualcomm 695	India	635071.0333
iOS	"iPhone13,2"	92		North_America	628406.8667
Android	21051182c	89		China_Mainland	624719.2
Android	scmr-w09	84		China_Mainland	624419.35
Android	moto g play - 2024	82	qualcomm 680	North_America	606037.05
iOS	"iPhone12,1"	90		South_Asia	601829.4
iOS	"iPhone14,2"	94		East_Asia	600930.9167
Windows	950XGK	76	Intel(R) Core(TM) Ultra 5 125H	East_Asia	592565.2833
iOS	"iPad11,1"	88		China_Mainland	587653.55
Android	mro-w00	71		China_Mainland	586282.45
Android	infinix x6525	71	unisoc t606	South_Asia	583423.5167
iOS	"iPad8,9"	88		China_Mainland	578809.4
Android	bky-w20	71		China_Mainland	577423.8333
Android	v2111	75	helio p35	South_Asia	576403.1
Android	rk3588s_su30pro_native	71		China_Mainland	575787.65
iOS	"iPhone13,3"	92		East_Asia	559254.3167
Android	dmg-w00	69		China_Mainland	558689.7333
Android	rmx3834	73	unisoc t612	South_Asia	555507.4667
iOS	"iPhone15,2"	96		North_America	540386.1667
iOS	"iPhone17,2"	100		South_America	536684.35
iOS	"iPhone18,2"	-1		North_America	521772.1667
Android	ctg3	71		China_Mainland	517415.3
Android	cph2667	81	mediatek mt6835  mt6835	India	515610.9667
iOS	"iPhone10,2"	86		China_Mainland	507954.0333
Android	xd-sdb21-2201	75		China_Mainland	502891.7833
iOS	"iPhone15,3"	96		South_America	502537.8167
iOS	"iPhone12,8"	90		East_Asia	500622.1167
Android	sm-s135dl	75	helio p35	North_America	499536.9
Android	v2420	81	mediatek mt6835  mt6835	India	497367.5333
MAC	"MacBookPro18,1"	89		East_Asia	495920.6833
Android	21a900	72		China_Mainland	495697.0833
iOS	"iPhone11,6"	88		China_Mainland	494714.7
Android	tecno kl4	76	spreadtrum t615  ums9230_kl4_go	South_Asia	491424.55
Android	vivo 1906	76	qualcomm 439	South_Asia	475888.3333
Android	2409brn2ca	75	helio p65	South_Asia	474879.4167
Android	rmx3760	74	unisoc t612	South_Asia	473608.5
iOS	"iPhone13,4"	92		North_America	468185.5667
iOS	"iPhone17,1"	100		North_America	466152.3667
Android	ags5-w00	89		China_Mainland	463672.7833
Android	cph2591	74	helio p65	South_Asia	463096.9667
Android	cph2269	75	helio p35	South_Asia	462936.6167
iOS	"iPhone14,5"	94		South_Asia	459542.05
Android	mrx-w09	84		China_Mainland	458789.3
iOS	"iPhone14,3"	94		South_America	454210.1333
iOS	"iPad6,11"	82		China_Mainland	453700.4833
Android	xd-sdd15-2201	75		China_Mainland	453547.7667
iOS	"iPhone15,5"	96		North_America	452482.3833
iOS	"iPhone14,6"	94		East_Asia	449503.2333
iOS	"iPhone14,3"	94		East_Asia	448881.3333
Android	cph2269	73		South_Asia	440978.1333
iOS	"iPhone14,2"	94		China_Mainland	438293.4
Android	moto g15	74	helio p65	South_America	437301.9833
Android	b2	71	", rk30board"	China_Mainland	437110.9
Android	v2437	82	mediatek mt6878  mt6878	India	435958.9833
iOS	"iPhone13,2"	92		South_America	435011.8333
iOS	"iPad13,1"	92		China_Mainland	434587.5
Windows	HP ProBook 440 G8 Notebook PC	76	11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz	China_Mainland	434454.7
Android	tecno bg6	71	unisoc t606	South_America	430285
Android	tecno bg6	65		South_America	429905.0667
Android	23073rpbfc	89		China_Mainland	426991.8833
iOS	"iPhone14,7"	94		South_America	426847.1
Android	bah3-w59	81		China_Mainland	426332.9
iOS	"iPhone16,2"	98		South_America	424360.75
Android	xta11	72		China_Mainland	424245.1333
Android	infinix x688b	73	"MT6765G, mt6765"	South_Asia	423686.3167
Android	mrx-w29	84		China_Mainland	421243.8333
iOS	"iPhone10,3"	86		China_Mainland	410902.1667
Android	b2	85	rockchip rk3588  rk30board	China_Mainland	410505.5167
Android	cph2665	81	mediatek mt6835  mt6835	India	407275.6
iOS	"iPhone11,8"	88		North_America	404709.0167
iOS	"iPhone15,4"	96		India	403514.1833
Android	t1	89		China_Mainland	403210.6333
Android	cph2641	86		South_Asia	402664.2
iOS	"iPad14,3"	94		China_Mainland	401153.6333
iOS	"iPhone16,2"	98		China_Mainland	398324.45
Android	2409brn2cl	74	helio p65	South_America	397216.8167
Android	tecno km4	76	spreadtrum ums9230e  ums9230_km4_go	South_Asia	395955.3833
Android	n159v	82	qualcomm 680	North_America	393784.1833
iOS	"iPhone13,4"	92		China_Mainland	393764.5667
Android	sm-a156u	78	mediatek mt6835  mt6835	North_America	393395.15
Android	infinix x6532	74	helio p65	South_Asia	392685.0333
Android	tecno bg6	71	unisoc t606	South_Asia	390962.5
Android	cph2641	79	qualcomm 662	South_Asia	390403.4167
Android	25028rn03a	76	spreadtrum ums9230e  serenity	South_Asia	387193.95
Android	sm-a156e	81	mediatek mt6835  mt6835	India	384911.5167
Android	xdh-25-b3	73		China_Mainland	384449.75
Android	v2120	73	"MT6765V/CB, mt6765"	South_Asia	384437.9833
Android	v2043	73	"MT6765V/CB, mt6765"	South_Asia	384249.4333
Android	xpt21	72		China_Mainland	380822.0833
iOS	"iPhone15,3"	96		East_Asia	378193.2167
Android	talih-bk1	75		China_Mainland	377991.4667
Android	xpt11	72		China_Mainland	376341.5
Android	v2430	73	unisoc t612	South_Asia	374075.5667
iOS	"iPad5,3"	70		China_Mainland	371641.5667
iOS	"iPhone14,8"	94		North_America	369446.8833
Android	sm-s928n	96	qualcomm 8 Gen 3	East_Asia	364810.9833
Android	cph2681	79	mediatek mt6835  mt6835	India	364712.55
iOS	"iPhone12,1"	90		Europe	363356.3833
iOS	"iPhone16,1"	98		North_America	363192.25
iOS	"iPhone13,1"	92		East_Asia	362407.0333
Android	ums9620_se50_s30pro	71		China_Mainland	362231.3667
Android	rmx3998	81	mediatek mt6835  mt6835	India	358068.8167
Android	motorola edge 50 fusion	85	qualcomm 7s Gen 2	India	355209.1167
Android	v2403	82	mediatek mt6878  mt6878	India	353198.9
Android	sm-s938n	94	qti sm8750  qcom	East_Asia	352439.6833
Android	v2427	88	qualcomm 7 Gen 3	India	351511.5
iOS	"iPhone14,5"	94		India	350058.7
iOS	"iPhone17,5"	100		North_America	349981.25
Android	wgr-w09	88		China_Mainland	347587.8
Android	infinix x6725	76	spreadtrum ums9230e  ums9230_x6725_go	South_Asia	345749.1
iOS	"iPhone14,5"	94		Europe	345507.9667
Android	v2310	75	helio p65	South_Asia	345045.3
Android	bky-w10	71		China_Mainland	344057.9833
Android	m2105k81ac	93		China_Mainland	342912.0333
Android	sm-e156b	81	mediatek mt6835  mt6835	India	341009.45
Android	sm-s928b	96	qualcomm 8 Gen 3	India	340946.1167
Android	a127cs	72		China_Mainland	339294.8
Android	2405crpfdc	89		China_Mainland	339231.6833
Android	hey-w09	89		China_Mainland	338093.1333
Android	talih-pd3s	75		China_Mainland	337895.3
Android	rmx3710	75	helio p65	South_Asia	335432.2667
Android	got-w09	89		China_Mainland	334513.2167
iOS	"iPad13,19"	92		North_America	334451.3833
Android	tecno kl4	65	", ums9230_KL4_go"	South_Asia	333789.5667
Android	cph2695	81	mediatek mt6835  mt6835	India	332088.0833
Android	vivo 1906	82	Qualcomm 439	South_Asia	331925.2667
iOS	"iPhone13,4"	92		South_America	331336.65
Android	cph2467	89	Qualcomm 695	India	330019.55
Android	sm-a065m	74	helio p65	South_America	327958.8167
Android	v2416	83	qualcomm 4 Gen 2	India	326531.3667
Android	tecno ki7	80	mediatek mt6769h mt6769h mt6769	South_America	325289.3167
Android	v2434	81	qualcomm 680	South_Asia	324636.9
Android	infinix x6525	65		South_Asia	322835.7
Android	2409brn2ca	72	", mt6768"	South_Asia	321641.1
iOS	"iPhone15,4"	-1		East_Asia	321197.9167
Android	moto g stylus 5g - 2024	83	qualcomm 6 Gen 1	North_America	320482.2833
iOS	"iPhone18,2"	-1		East_Asia	318531.1167
Android	bah3-w09	84		China_Mainland	318194.0333
Android	moto g85 5g	83	qualcomm 695	India	318120.8667
Android	cph2773	86		South_Asia	317856.8667
Android	sm-g781w	89	qualcomm 865	North_America	317031.5333
Android	v2338	83	qualcomm 6 Gen 1	India	315333.9667
Android	cph2495	76	mediatek 700	India	312614.5333
iOS	"iPhone16,2"	98		Europe	312522.4833
iOS	"iPhone13,4"	92		East_Asia	308832.9333
Android	24117rn76g	78	helio g99	South_Asia	308808.1
Android	pce-w30	84		China_Mainland	308399.8667
Android	23076rn4bi	83	qualcomm 4 Gen 2	India	306425.7667
Android	cph2591	69		South_Asia	306158.6833
Android	v2336	83	qualcomm 4 Gen 2	India	303390.4833
iOS	"iPhone11,8"	88		South_America	303324.25
iOS	"iPhone11,8"	88		East_Asia	303005.7833
Android	2406ern9ci	83	qualcomm 4 Gen 2	India	301841
iOS	"iPhone15,2"	96		China_Mainland	301119.4833
iOS	"iPhone14,3"	94		Europe	300856.0333
iOS	"iPhone14,7"	-1		East_Asia	300186.8
Android	v2204	75	helio p35	South_Asia	298935.1167
iOS	"iPhone12,3"	90		East_Asia	298739.8833
iOS	"iPhone15,4"	96		South_America	297181.4167
Android	infinix x6525	71	unisoc t606	South_America	297103.1167
Android	2404arn45a	72	", mt6768"	South_Asia	296890.7333
Android	v2315	76	mediatek 700	India	296200.35
Android	v2443	83	qualcomm 4 Gen 2	India	294870.7
Windows	20TAA023CD	76	11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz	China_Mainland	294848.7333
Android	23046rp50c	93		China_Mainland	294422.65
iOS	"iPhone14,7"	94		China_Mainland	293882.4333
iOS	"iPhone14,6"	94		North_America	293446.8833
iOS	"iPhone12,5"	90		South_America	292496.2167
iOS	"iPhone11,8"	88		Africa	292321.9
iOS	"iPhone13,4"	92		South_Asia	292242.6667
Android	v2344	73	unisoc t612	South_Asia	291779.1333
Android	sm-a356e	85	exynos 1380	India	291531.3333
iOS	"iPhone14,2"	94		North_America	291488.1833
Android	hey2-w19	89		China_Mainland	291264.9
Android	cb-ctg2.0	68		China_Mainland	291026.9833
Android	2404arn45a	75	helio p65	South_Asia	289526.6167
Android	talih-pd3p	72		China_Mainland	288696.2167
Android	cph2753	81	mediatek mt6835  mt6835	India	288124.1667
Android	cph2643	82	mediatek 900	India	287126.4167
Android	23043rp34c	93		China_Mainland	286805.4833
Android	21a901	72		China_Mainland	285246.7667
Android	infinix x6525	65		South_America	285189.2
Android	25028rn03a	65	", serenity"	South_Asia	284813.7167
Android	sm-s928b	96	qualcomm 8 Gen 3	Middle_East	284739.2667
Android	cph2477	73	"MT6765G, mt6765"	South_Asia	284549.1
Android	xpv21	72		China_Mainland	283772.4333
Android	cph2613	88	qualcomm 7 Gen 3	India	283227.0667
Android	v2430	65	", ums9230_6h10"	South_Asia	283170.85
iOS	"iPhone15,3"	96		China_Mainland	283121.3167
Android	23129ra5fl	81	qualcomm 680	South_America	282714.55
Android	cph2487	92	qualcomm 8+ gen 1	India	282055.0667
Android	23129raa4g	81	qualcomm 680	South_Asia	281932.3167
Android	23053rn02a	75	helio p65	South_Asia	279121.3
Android	25028rn03l	76	spreadtrum ums9230e  serenity	South_America	278994.5833
Android	eln-w09	89		China_Mainland	277304.9667
iOS	"iPhone15,3"	96		Europe	276235.4667
Android	23106rn0da	75	helio p65	South_Asia	276091.4
iOS	"iPad8,1"	88		China_Mainland	275141.6833
Android	sm-t585	74	samsungexynos7870	Europe	274691.65
iOS	"iPhone13,4"	92		Europe	274184.9167
iOS	"iPhone13,3"	92		North_America	274096.45
Android	infinix x6525	65		Middle_East	273834.9333
Android	sm-a155m	78	helio g99	South_America	273264.9
iOS	"iPhone12,5"	90		North_America	272670.8833
Android	v2439	82	mediatek mt6878  mt6878	India	272315.8667
Android	cph2619	83	qualcomm 695	India	271103.25
Android	xyao-w00	84		China_Mainland	270758.2833
Android	slg-w10	71		China_Mainland	270210.25
Android	cph2083	75	helio p35	South_Asia	268672.5667
Android	r29p	-1		North_America	268614.6333
Android	web-w00	71		China_Mainland	268045.6333
Android	moto g 5g - 2024	80	qualcomm 4 Gen 1	North_America	267370.8
Windows	82F8	76	11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz	China_Mainland	266823.1667
iOS	"iPhone15,2"	96		South_America	266256.2
Android	23124rn87i	81	mediatek mt6835  mt6835	India	264753.8333
Android	23124rn87i	78	mediatek mt6835  mt6835	India	262277.5333
Android	dbr-w00	89		China_Mainland	261689.6333
Windows	21E3A01HCD	76	12th Gen Intel(R) Core(TM) i5-1240P	China_Mainland	261107.15
Android	rod-w09	75		China_Mainland	260787.95
Android	rmx3933	73	unisoc t612	South_Asia	260268.7333
Android	tecno bf7	67		South_America	260189.4333
Android	sm-a165f	77	helio g99	Africa	259968.45
Android	u380aa	69	helio a20	North_America	259957.65
Android	cph2693	81	mediatek mt6835  mt6835	India	259943.0667
iOS	"iPhone17,2"	100		Europe	258687.1167
iOS	"iPhone14,5"	94		Middle_East	258571
Android	v2225	76	mediatek 700	India	258400.5667
Android	v2428	82	mediatek mt6878  mt6878	India	257794.7833
Android	infinix x688b	75	helio p35	South_Asia	257658.35
Android	23076rn4bi	89	", qcom"	India	257391.7833
Android	s8	71		China_Mainland	256209.5167
Android	rmx3997	81	mediatek mt6835  mt6835	India	256111.7167
iOS	"iPhone14,7"	94		Europe	254977.95
Android	motorola edge 60 fusion	82	mediatek mt6878  mt6878	India	254127
iOS	"iPhone14,2"	94		South_America	254014.3167
Windows	950XED	76	12th Gen Intel(R) Core(TM) i5-1240P	East_Asia	253826
Android	v2352	75	helio p65	South_Asia	253278.8333
Android	p15a	72		China_Mainland	253194.6333
Android	rmx3195	69	"MT6769V/CZ, mt6768"	South_Asia	252180.1833
Android	v2312	78	mediatek 6020	India	252048.5
Android	hey2-w09	89		China_Mainland	251957.4833
Android	v2303	83	qualcomm 695	India	251143.9667
Android	24117rn76l	78	helio g99	South_America	249111.7667
Windows	21E3A098CD	76	12th Gen Intel(R) Core(TM) i5-1240P	China_Mainland	248616.1833
Android	v2310	72	", mt6768"	South_Asia	247782.1333
Android	tecno kl4	65		South_America	247613.2667
Android	sm-s918n	95	qualcomm 8 Gen 2	East_Asia	246190.1
iOS	"iPhone15,3"	96		South_Asia	246109.3333
iOS	"iPhone15,4"	96		China_Mainland	245948.2333
iOS	"iPhone15,5"	96		East_Asia	245839.6
Android	rmx3940	81	mediatek mt6835  mt6835	India	245577.7167
iOS	"iPhone10,1"	86		East_Asia	244906.1167
